id	tweet	subtask_a	subtask_b	subtask_c
86426	 She should ask a few native Americans what their take on this is	OFF	UNT	
90194	 Go home youre drunk MAGA Trump  URL	OFF	TIN	IND
16820	Amazon is investigating Chinese employees who are selling internal data to thirdparty sellers looking for an edge in the competitive marketplace URL Amazon MAGA KAG CHINA TCOT	NOT		
62688	 Someone shouldveTaken this piece of shit to a volcano 	OFF	UNT	
43605	 Obama wanted liberals amp illegals to move into red states	NOT		
97670	 Liberals are all Kookoo 	OFF	TIN	OTH
77444	 Oh noes Tough shit	OFF	UNT	
52415	 was literally just talking about this lol all mass shootings like that have been set ups its propaganda used to divide us on major issues like gun control and terrorism	OFF	TIN	GRP
45157	 Buy more icecream	NOT		
13384	 Canada doesnt need another CUCK We already have enough LooneyLeft Liberals fking up our great country Qproofs TrudeauMustGo	OFF	TIN	IND
82776	 Its not my fault you support gun control	NOT		
42992	 Whats the difference between Kavanaugh and One of these men admitted to groping a  year old girl years ago The other is going to be confirmed to the SCJ DemsareFrauds DemsAreDone WalkAwayDemocrats redwave VoteRedSaveAmerica trumptrain MAGA URL	NOT		
28414	 you are a lying corrupt traitor Nobody wants to hear anymore of your lies DeepStateCorruption URL	OFF	TIN	IND
54920	 It should scare every American She is playing Hockey with a warped puck	NOT		
56392	 I like my soda like I like my boarders with a lot of ICE	NOT		
86735	 you are also the king of taste	NOT		
95686	MAGA  Sing like no one is listening  Love like youve never been hurt  Vote GOP when no one is watching  And dont listen to Liberals dirt URL	NOT		
71446	 The time is right for this House to respond to the concerns of all Canadians Four out of five Canadians support stronger gun control and with good reason guncontrol cdnpoli cdnhist	NOT		
23958	 Besides Jaxs mom and maybe Ope he is hands down my favorite hes like the only good person on the show 	NOT		
28195	 gun control That is all these kids are asking for	OFF	TIN	OTH
56117	 LOL Throwing the BULLSHIT Flag on such nonsense PutUpOrShutUp Kavanaugh MAGA CallTheVoteAlready URL	OFF	TIN	IND
67757	 You are correct	NOT		
12681	 Kind of like when conservatives wanna associate everyone to their left as communist antifa members	OFF	TIN	GRP
82904	 Da fuck is going on people Theres the mens room and the womens room Pick one and stick w it 	OFF	TIN	GRP
63236	 Been a Willie fan since before most of you were bornLOVE that he is holding a rally with Beto Exactly WHICH fans are furious Could you give some specifics URL	NOT		
77665	 Tbh these days i just dont like people in general i just dont connect with people these days just a annoyance	OFF	TIN	IND
83484	South Korean Official Leaders will discuss specific denuke measures in Pyongyang URL TCOT MAGA RedNationRising	NOT		
74932	 You can tell he is a hooper too	NOT		
91252	 I feel like he is better chasing the title	NOT		
25440	 She To whom are you referring to Hillary You know what is tiresome Bernie supporters bashing Hillary Clinton She is an actual Democrat who raises money for the Democratic Party and doesnt bash them She has a positive message So who is dividing the left	OFF	UNT	
81613	 Glad to see your friends are supporting Metis rights as much as you are supporting Zionists URL	NOT		
82333	 Yes you are but I was asking what is it about the movie 	NOT		
12609	The only thing the Democrats have is lying and stalling to stop Trump from being President What have they done for you lately Trump Kavanaugh MAGA DEMSUCK	OFF	TIN	GRP
