test_case	id	source	language	text	task1	task2
EXIST2021	1	twitter	en	She calls herself antifeminazi how about shut the fucking up on your vile commentary on an elderly responsible citizen tu sach muuch ghani baawribewdi hai bey 	sexist	ideological-inequality
EXIST2021	2	twitter	en	Now back to these women the brave and the beautiful  and  These bad ass babes are deserve so much credit for how this season has gone As a woman Ive learned so much from them and feel more empowered to expect more in future relationships	non-sexist	non-sexist
EXIST2021	3	twitter	en	  Wow your skirt is very short What is its length  inch or more	sexist	objectification
EXIST2021	4	twitter	en	 Incredible  BeautifulBut I laughed so much when I read about you drifting in your wheelchairI can just picture it  	non-sexist	non-sexist
EXIST2021	5	twitter	en	i find it extremely hard to believe that kelly or a  yr old mum would believe any of this so it makes me question what the fuck their game was especially as none of them have apologised or tried to explain amp their immediate response was to like tweets attacking the victims	non-sexist	non-sexist
EXIST2021	6	twitter	en	 Hellom rajm with good size and excellent stamina A passionate pussy lickerLove to lick every holes were womens desire to b lickedDoggyMissionaryWomen on topMy best pose to spank over bed	sexist	sexual-violence
EXIST2021	7	twitter	en	  True story Me to  yo daughter Get a gun so you can shoot any wouldbe rapist Thats sexist and victim blaming Women shouldnt need to carry guns to protect themselvesMe Youre right they shouldnt have to Some people are evil and you need to deal with them	non-sexist	non-sexist
EXIST2021	8	twitter	en	Head coach Caroline Ouellette is excited to share some great news about the Stingers GivingTuesday initiative An anonymous donor has offered to match gifts to the Concordia womens hockey team up to a total of K CUhockey USPORTS 	non-sexist	non-sexist
EXIST2021	9	twitter	en	 Devli Branch  New Delhi should be avoided by all and deserves being shut because the employees therein are least bothered with the consumers woes  days yet no redressal of woes disappointed harassed	non-sexist	non-sexist
EXIST2021	10	twitter	en	Bravo to this woman No matter what you believe about Covid standing up for your beliefs when everyone around you is making you feel crazy is hard to do She held her own If you know this woman please tag her I need to send her a bottle of wine or something 	non-sexist	non-sexist
EXIST2021	11	twitter	en	     You werent actually whatThis is not a painted pic this is reality Own what you are advocating You say facilitators  thats a stranger examining a rape victims anus swabbing her vagina You are telling raped women that their request for same sex care is transphobic	sexist	ideological-inequality
EXIST2021	12	twitter	en	let me just say a quick thankyou to Hezekiahs mom for this pound of chocolate hezekiah actually drives me crazy at work but as a  year old I have to forgive him and be nice	non-sexist	non-sexist
EXIST2021	13	twitter	en	 not the victim card	non-sexist	non-sexist
EXIST2021	14	twitter	en	  Thats because us and Sunderland fans are too busy being dickheads to our shitshow managers and owners to slag off other clubs	non-sexist	non-sexist
EXIST2021	15	twitter	en	 Aw get over yourselves Women know what a period is And isnt And we dont talk about it or whine about it as much as some disinterested parties	non-sexist	non-sexist
EXIST2021	16	twitter	en	                                                I dont know any feminists who think the way youre accusing us of If anything feminism would say the opposite a woman shouldnt need a man or men to make her feel valid anymore than a man should We should all find that in ourselves	sexist	ideological-inequality
EXIST2021	17	twitter	en	 HA what a knee slapper so freakin true	non-sexist	non-sexist
EXIST2021	18	twitter	en	I really just want to be rich  but not trophy wife rich rich with my own	sexist	stereotyping-dominance
EXIST2021	19	twitter	en	 They dont even wanna acknowledge that but were supposed to break from and destroy some system of misandry for them	non-sexist	non-sexist
EXIST2021	20	twitter	en	  This feels like a cold take on the surface but I feel like this is hand waving away so much earlys conservative media legwork that was done that has been largely paved over Limbaugh hit it big in  when he uttered the first usage  of Feminazi I had heard describing HRC	sexist	ideological-inequality
EXIST2021	21	twitter	en	NOW Sports Nutrition Beef Bone Broth Powder made with PremiumQuality Beef Bone Extract  Pound  	non-sexist	non-sexist
EXIST2021	22	twitter	en	Bitches be begging me to fw them just to give me a reason not to fw them Lol	sexist	sexual-violence
EXIST2021	23	twitter	en	       Im going to start demanding that hot lesbians sleep with me and if they say no Im going to accuse them of misandry and heterophobia I might throw in a racist or fascist toobecause why not	sexist	ideological-inequality
EXIST2021	24	twitter	en	 My philosophy He has a funny mustache what else does a man need	non-sexist	non-sexist
EXIST2021	25	twitter	en	 Please always take care of yourself as times are getting hard around the world You are one of the most beautiful women GOD ever made  Hope this reaches you 	non-sexist	non-sexist
EXIST2021	26	twitter	en	I would dislike a friend like James harden he gave one of the babys a Prada bag honey buns Richard Mille and k Mf now I have to remember your birthday and go buy you something worth more fuck Just give me the honey buns and send me a text Foh with all the extra shit	non-sexist	non-sexist
EXIST2021	27	twitter	en	 Youre a Beautiful Woman with a Beautiful Heart  I still think youre the Sexiest Now bend over Daddies gonna spank you	sexist	sexual-violence
EXIST2021	28	twitter	en	 Looks like a cool boss lady	non-sexist	non-sexist
EXIST2021	29	twitter	en	  And people who cant be vaccinated you know like pregnant and nursing women people who have had organ transplants those with cancer etc	non-sexist	non-sexist
EXIST2021	30	twitter	en	   Women make it about themselves children can live without you touching them every second The child is not a toy but a full human being if kids could talk from day one they would tell you to leave them alone  of the time	non-sexist	non-sexist
EXIST2021	31	twitter	en	I love poetry books so Im reading the one i have on this plane flight and one of the flight attendants black women goes its good to see a brotha reading something thats is so deep	non-sexist	non-sexist
EXIST2021	32	twitter	en	 And you are right the probleme is the war between left and right while if they work together they can do great things the equality need freedom and freedom need equalityRight have many things to help peopleLeft have the humanity who can gain great things to improve society	non-sexist	non-sexist
EXIST2021	33	twitter	en	 FuckI hate that there is literally a good amount of people lucky enough to even share the same space with you for even some secondsAnd they fucking behave like this even as an accidentAghhI would die even if I was in the same city as you	non-sexist	non-sexist
EXIST2021	34	twitter	en	  Women with big knockers shouldnt wear patterned tops draws attention to themselves also too low	sexist	objectification
EXIST2021	35	twitter	en	  Thats because she was seriously mentally ill just like Dworkin amp Millett Radical feminism which is more accurately described as carceral separatism has a decades long habit of putting the unhinged front amp center	sexist	ideological-inequality
EXIST2021	36	twitter	en	 I learned needlepoint to pick up chicks when traveling  pua mgtow	sexist	misogyny-non-sexual-violence
EXIST2021	37	twitter	en	The people deserve to know why they are being denied   month survival checksCOVID relief should not be debated behind closed doors	non-sexist	non-sexist
EXIST2021	38	twitter	en	 I have read the Bible and you are right The letters of St Paul are supporting the oppression of women to give one example out of many Also if being swallowed by a large fish and coming out of it alive is natural law then I would travel by fish and not by boat	sexist	stereotyping-dominance
EXIST2021	39	twitter	en	 This is a super news for the WomensRights 	non-sexist	non-sexist
EXIST2021	40	twitter	en	On Tuesday Eritrean forces killed  civilians who were hiding in the AlNejashi mosque a woman from the Tigray town of Negash tells me over the phone She managed to escape the massacre amp arrived in Mekele last Wednesday after walking  more than 	non-sexist	non-sexist
EXIST2021	41	twitter	en	BBC men are so superior to inferior little Asian men like me I love the snowbunnies that have handsome BBC bulls as boyfriends fuck buddiesThey are alpha men nor a pindick loser like me I would love to serve a couple amp be cucked by them Midlands UKqueenofspades	sexist	ideological-inequality
EXIST2021	42	twitter	en	  Except for the human you murdered All in the name of whoring yourselves out Good job feminists	sexist	ideological-inequality
EXIST2021	43	twitter	en	  WOW people are actually scared of a single woman भरतय नर सब पर भर and these traitors should be scared of her Remember one thing you can stop one Kangna but uncountable Kangna will counter back and stand for what is right	sexist	stereotyping-dominance
EXIST2021	44	twitter	en	 we can discuss that later but the important part is YOU AWESOME BEAUTIFUL QUEEN GODDESS	non-sexist	non-sexist
EXIST2021	45	twitter	en	 The cock carousel is exhausting	non-sexist	non-sexist
EXIST2021	46	twitter	en	  Youre a transwoman not A WOMAN Youre mansplaining womens rights period	sexist	ideological-inequality
EXIST2021	47	twitter	en	 the prompt isnt posted yet Im a free woman till  am tmrw  what else 	non-sexist	non-sexist
EXIST2021	48	twitter	en	ive been sooo interesting my whole life and i just want to be a boring trophy wife now	sexist	stereotyping-dominance
EXIST2021	49	twitter	en	Police searching for man accused of stealing womans purse from inside business driving off with her v READ MORE  BusinessPlan BusinessStrategy Education Entrepreneur Entrepreneurship NewBusiness OnlineBusiness Products Services 	non-sexist	non-sexist
EXIST2021	50	twitter	en	I need someone to make me cum my pussy is throbbing for some cock dm me for some fun horny dm sext sexting trade tribute cumtribute pussy wet orgasm cumslut slut sex fuckme dirtytalk verbal porn cock cum dirty hornyfemale wetpussy	sexist	sexual-violence
EXIST2021	51	twitter	en	Hello stalker in Scotland using Google Chrome an app I do not use wont supply and IP address though stalked harassed loggedinsametimeasme nowherenearscotland differentisland 	non-sexist	non-sexist
EXIST2021	52	twitter	en	New Realm   MGTOW Debate vs Lamprey Milt   I debated a member of the MGTOW community which is closely related to incels podcast podcasts incel mgtow altright debate 	non-sexist	non-sexist
EXIST2021	53	twitter	en	  You look like a prostitute that literally no one would go to	sexist	misogyny-non-sexual-violence
EXIST2021	54	twitter	en	         Back Back to Limbaugh your creator FeminaziSeriously you lost by over  million votesYou lost decisively and definitivelyYou lost humiliatinglyYou make yourself a bigger loser by claiming you were so entitled to win you just couldnt have lostStop whining	sexist	ideological-inequality
EXIST2021	55	twitter	en	   All the shouting against the white men was not hate It was love Twisted but love all the same Thats whats going on here	non-sexist	non-sexist
EXIST2021	56	twitter	en	 And am I the only suburban white woman whose neighborhood is still standing	non-sexist	non-sexist
EXIST2021	57	twitter	en	   Do all you democrats Smoke crack  Democrat I never knew that we have people Like you guys that could hate the United States has much Always want to blame one person Remember We cannot fight something that we cannotsee Always wanting to blame president trump Its not just one guy	non-sexist	non-sexist
EXIST2021	58	twitter	en	willie is twisted for inciting this but lets be honest wbk willie was always problematic from the start ms manila tho hunny instead of defending an empowered woman who was comfortable in her own skin she chose to let a mans taunting words stroke her ego disgusting 	sexist	misogyny-non-sexual-violence
EXIST2021	59	twitter	en	Ladies dont get fooled before the year is up  that  bout to get real spooky 	non-sexist	non-sexist
EXIST2021	60	twitter	en	  Yeah go for a vat of slag	non-sexist	non-sexist
EXIST2021	61	twitter	en	was the manspreading crusade of the s a psyop or was that real  do we know	non-sexist	non-sexist
EXIST2021	62	twitter	en	FactCheckingDespotAbiyAhmed Out of the K Tigrayans fled to Sudan more than  women are pregnant and  of them are survivors of gender based violence AbiyLiesEthiopiaDies      TigrayGenocide StopWarOnTigray 	non-sexist	non-sexist
EXIST2021	63	twitter	en	 The intimidating yell of the woman was demanding and he didnt dare want to make her angryHe feels back and this time he puts all his strength behind the spank that contacts her ass	sexist	sexual-violence
EXIST2021	64	twitter	en	 What does you getting pregnant have anything to do with the decision to get the vaccine It doesnt sterilize you If anything you should probably want to be immune to a contagious disease before you get pregnant	non-sexist	non-sexist
EXIST2021	65	twitter	en	 adaptation but we dont know what tedros will look like in the adaptation yet he might not be blonde and kinda dumb no offense i love teddy D and the other cast might not be like how they look like in the book ಠಠ	non-sexist	non-sexist
EXIST2021	66	twitter	en	 Rat and skank	sexist	misogyny-non-sexual-violence
EXIST2021	67	twitter	en	 Want to settle down now that youve gotten bored with the cock carousel	sexist	misogyny-non-sexual-violence
EXIST2021	68	twitter	en	 Shell laugh at the response Like a villain in guessing Another small chuckle from the lovely lady before actually respondingWriting vibin throwing knives into a cutting board when Im not playing five finger fillet with them	non-sexist	non-sexist
EXIST2021	69	twitter	en	and the thing that makes sexual assault is not the specific act being carried out but rather the lack of consent to that act WHATEVER it happens to be kink or vanilla or fucking street harassment	non-sexist	non-sexist
EXIST2021	70	twitter	en	     Scientific TruthMALES CAN NEVER BE FEMALESFEMALES CAN NEVER BE MALE NO to flat earth GE MP Nicholsonhe fails Perth ScotlandMermaids twt below shows his agendaNEC now changedSame SEMSPs voted out if fail to uphold EQA WomensRightsChild safeguarding then MPs 	non-sexist	non-sexist
EXIST2021	71	twitter	en	Cant believe Peter Prices burner account just called me a slag lol	sexist	misogyny-non-sexual-violence
EXIST2021	72	twitter	en	                                 By your dumb logic gays the infertile and post menopausal women shouldnt be allowed to have sex because they cant reproduce	non-sexist	non-sexist
EXIST2021	73	twitter	en	Reblog if I can tease your thick cock 	sexist	sexual-violence
EXIST2021	74	twitter	en	     Wouldnt showing womens football of any level promote it moreAs I said she is good but in an age where we go on about equality it seems there is disparity between what is required as a woman and what is required as a man which cannot be argued	sexist	stereotyping-dominance
EXIST2021	75	twitter	en	I HATE FB someone said where the real women at and in the comments someone else said church and a dude responded with every girl i met at church was a whore	sexist	stereotyping-dominance
EXIST2021	76	twitter	en	  Slackers One year I ordered hubs a huge new grill from Amazon I had to use my feet to roll it over because it was so heavy and it looked like something Frankenstein had wrapped because it took  rolls of paper but I did it Now Ive learned the trick  dont wrap the bottom	non-sexist	non-sexist
EXIST2021	77	twitter	en	  Still waiting for a response from the Crown Btch of Saudi Arabia You think I care that your a Crown Prince  NOI How does it feel to kill ampdismember a journalist or imprison a female activist for having the audacity to say that women should be able to driveFU	sexist	ideological-inequality
EXIST2021	78	twitter	en	  gt Lascivious  Moxxy Minx gt Moxxy Minx does some of her early porn auditions for Spungy Gunk Films Masturbate tease suck cock and fuck vod        PYP 	sexist	sexual-violence
EXIST2021	79	twitter	en	       You dont know anything  You cant know and furthermore you dont actually WANT to know And I dont feel any sympathy at all for males who envy women I dont have any empathy at all for any envier Envy is a psychologicalemotional problem Enviers are deformed	non-sexist	non-sexist
EXIST2021	80	twitter	en	AYE KAM u will follow yall because the more men yall kil means more women for some sooooo kill all the men u want KAM	sexist	ideological-inequality
EXIST2021	81	twitter	en	im a random ass slapper too lmao 	non-sexist	non-sexist
EXIST2021	82	twitter	en	 First thing I see are her slut nails	sexist	objectification
EXIST2021	83	twitter	en	You either believe in the full equality of men and women or you do not In Feminism Lite that men are naturally superior but should be expected to treat women well No No No There must be more than male benevolence as the basis for a womans wellbeing	sexist	ideological-inequality
EXIST2021	84	twitter	en	 Aaah I just saw you on the telly Said to my wife I follow her on Twitter Shes a mansplaining magnetdambusters	sexist	sexual-violence
EXIST2021	85	twitter	en	 promoting a master class for fame is the funniest shit This girl is the prime example of what happens when you give stuck up ignorant self obsessed people fameWhat are the tips to be a bitch and always victimize urselfOh and be racist and never take accountability 	sexist	ideological-inequality
EXIST2021	86	twitter	en	 I want a doll cuz i hate people not women I dont feel good talking with people i dont know so my chance of getting a GF is zero mostly because i dont want to be hurt like my first and last time in a relationship	non-sexist	non-sexist
EXIST2021	87	twitter	en	Lol youre nutting in women you find ugly Yet fucking them alone Men I tell you no standards 	sexist	sexual-violence
EXIST2021	88	twitter	en	Some women have to start holding their friends accountable for these ways of thinking I just dont understand some of these expectations yall have for us men She was late  How do you prioritize a date before feeding your child Maybe Im wrong 	sexist	stereotyping-dominance
EXIST2021	89	twitter	en	Former aide LindseyBoylan Alleges Crooked democrats NewYork Gov AndrewCuomo Sexually Harassed Her about looks  Media Covers It Up America USA FIGHTBACK TakeAction PUT PRESSURE ON YOUR POLITICIANSGeorgia Vote Republican	sexist	sexual-violence
EXIST2021	90	twitter	en	Why hate on a beautiful woman making her money I rather learn from them Thats the difference between you and me I admire women while you hate and try to shade them Do better	non-sexist	non-sexist
EXIST2021	91	twitter	en	Thinking about Disneys cultural empire and how American mythos is inherently linked to puritan industriousness that exploits every ounce of value out of every resource it encounters with no regard for quality or utility of the product it creates from the plunderWord	non-sexist	non-sexist
