id	tweet	label
15923	WhoIsQ WheresTheServer DumpNike DECLASFISA Democrats Support Antifa Muslim Brotherhood MS ISIS Pedophilia Child Trafficking Taxpayer Funded Abortions Election Fraud Sedition And Treason LockThemAllUp WWGWGA QAnon  URL	1
27014	ConstitutionDay is revered by Conservatives hated by ProgressivesSocialistDemocrats that want to change it	0
30530	FOXNews NRA MAGA POTUS TRUMP ndAmendment RNC USMC veterans fakereporting THESWAMP dnc liberals fakeoutrage First it reduces the ca URL	0
13876	Watching Boomer getting the news that she is still up for parole always makes me smile Wentworth Finale is such a treasure URL	0
60133	NoPasaran Unity demo to oppose the farright in London  antifa Oct  Enough is Enough URL	1
83681	   What the fuck did he do this time	1
96874	RAP is a form of ART Used to express yourself freely It does not gv the green light or excuse the behavior of acting like an animal She is not in the streets of the BX where violence is a way of living Elevate yourself boo and get on level for longevity QUEEN	0
65507	 Do you get the feeling he is kissing behind so he can humiliate him later	1
78910	 Tips to Enhance Audience Connection on Facebook URL socialmedia smm URL	0
46363	BiggBossTamil janani won the task She is going to first final list	0
68123	Conservatives  the party of low taxation  Tories Tory URL	0
22452	𝓒𝓒𝓮𝓭𝓻𝓪𝓷 The Nord cannot make a single move but he is fully aware of what is happening A chill comes down his spine as a ghostly rather   calm female voice called for him from a corner of the room Before he even has time to attempt a response 	0
15565	ConsTOO THE PLACE FOR FED UP CONSERVATIVES 	0
64376	GreatAwakening QAnon PatriotsUnited WWGWGA AreYouAwake WHEN YOU ARE AWAKE YOU SEE CLEARLY  Check out this video URL URL	0
12588	 Nigga ware da hits at	1
34263	StopKavanaugh he is liar like the rest of the GOP URL	1
65773	Dayspromo week of September th days dool A coma does things to a gal  Sami You are going to be ok Hattie No thanks to you Get her out of here Before she finishes me off Hattie pretends to be Marlena The look on Kayla face is priceless URL	0
95457	BiggBossTelugu Lets all include in all our tweetshe is the business head of Star Maa networkdont know if he knows about biggboss team and host hurting audience emotions BiggBossTelugu	0
24930	DallasPolicewoman kills neighbor in HIS own apartment WHAT went wrong SeeOfficer who shot man in his own apartment was involved in  shooting of a suspect She is devastatedsaid a Dallas police officer adds she is so so sorry for his family URL	0
15938	Always smack URL	0
45712	BREAKING After a weeklong trial a Linn County jury convicted Gregory Davis of FirstDegree Murder in connection with the Carrie Davis homicide that took place almost a year ago URL URL	0
70840	Kavanaugh so a wild claim from  years ago of groping has evolved into A Rape A Violent Sexual Event by Move URL a Soros based Org that supports BLM Antifa etc Unbeievable	0
53563	kznlt Enjouji really is the prototype of my character brand he is nothing but things that I love all rolled into one horrible package and fed directly into baby mes subconscious	0
59432	SilsilaBadallteRishtonKa tag is filled with appreciation of only Never watched this serial but I always wanted appreciation for Aditi She is underrated since starting of the show She is worth of all this appreciation 	0
21454	Beto BetoForSenate BetoORourke BetoforTX Willie Nelson laughs at conservatives who are upset with him URL	0
83155	HIAC Damn Matt Hardy and Randy Orton put on one hell in a cell match Woooo I hope he is okay	0
69576	 School shootings arent controversial Wanting gun control is	0
49139	 Put DeLauro in a police lineup identifying the bag lady  she would be picked everytime She has to be proof either Conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy No one votes for a woman that gross	1
76669	 coffee spit Spartacus moment He never saw the film	0
58995	 ALL FAMILYFRIENDS  do not tell me bad shit that your bfgf did to you just to go right back to them	1
88490	ChristineBlaseyFord is your Kavanaugh accuser Liberals try this EVERY time ConfirmJudgeKavanaugh URL	1
77101	 Fellow Democrats dont want  to do well its not about whats best for America Its purely politics  Dov Hikind Democratic NY Assemblyman URL	0
86917	osho quotes via Listen to your being It is continuously giving you hints It is a still small voice It does not shout at you that is true And if you are a little silent you will start feeling your way Be the person you are Never try URL URL	0
78472	YYC looking hockey players of all agesabilities for our Humboldt Tribute game Sunday  Arrive pm dress participate in our opening ceremony Contact lindsayclothier if you are interested WePlayForThem HumboldtStrong HockeyIsFamily GoNucks	0
17798	Conservatives Brexit putting Britain last Sending a chill down the spine of the UK	0
71873	Gamers go follow on Twitter and twitch He is playing with on BlackOps Blackout Please help and support them both on Twitter and twitch Remember all SupportForSupport and SupportAllStreamers URL	0
30247	QuickTip Find people already working in a company or within the industry that you are interested in We know a lot of people Send us your resume to info or message us RIGHT NOW URL URL	0
81150	LiberalLogic If Liberals get their way URL	0
46444	ArianaAsesina Is that serious Holy shit please your fucking assholes dont blame someone for the death of other one She is sad enough for today dont you see It isnt fault of none he had an overdose and died End Stop wanting someone to blame fuckers	1
60587	 How is she hiding her ugly personality She is the worst	1
70569	bitch what URL	1
59200	Georgetown Classmate Says Left Accuser is Absolutely NUTS URL Judge Kavanaugh ABC CBS Democrats Liberals women MondayMotivation MondayMorning veterans law MAGA GOP CNN MSNBC NBC Moms BlackWomen BET	0
30900	 Are you referring to how they lollygag with gun control as their kids get slaughtered in schools	0
44546	 Im shocked to learn human traffickers had guns Some probably illegal too CA needs more gun control But dont worry about the actual crime The pic of black guns is worse	1
53982	WELOVESEUNGCHEOL I am happy and proud of the work you have done to train seventeen along with the other members I see you and you are wonderful and incredible I really love u ㅠㅠ  URL	0
37884	Chequers is a violation of democracy  StandUpBrexit The will of the people must be respected URL	0
15079	Sessions Tells Chicago If You Want More Shootings More Death Listen To ACLU Antifa BlackLivesMatter URL	0
51628	Conservatives  Youre a clown URL	1
30899	voice in my head while I transfer money to my credit card bullshit that I bought and have to pay for	1
99680	Levi Strauss has never been afraid to take an unpopular stand to support a greater good  What about when they shut down all manufacturing in America That wasnt even a news story when it happened Maybe theyre right it wasnt unpopular URL	0
38628	  for her wedding Clintons always know whats best	0
40110	Kids Beating Paraplegic Trump Boy Left Teach Their Children Hate Violence schools teachers Democrats Liberals WalkAway Moms Mother NEA teachthemyoung Christian Catholic Jews Evangelicals family BlackWomen BlackTwitter Blacks News Media Disabled MAGA URL	1
50310	  B J R B Q B BX B RB Z B Q B H B H UT B 	0
84101	AskAlly I only say that I adore you and you are a great person please take care of yourself always	0
84876	DOJ employee resisters r looking up conservatives license plates home addresses legal details in LexisNexis give to Dem SocialistsAntifaproject VeritasBut dont worry no govt in history has ever made political opponent lists and oppressed them URL	0
57425	Kelly McParland Latest floorcrosser is telling truths the Liberals dont like hearing  URL URL	0
83262	GreatAwakening QAnon PatriotsUnited WWGWGA AreYouAwake WHEN YOU ARE AWAKE YOU SEE CLEARLY  Check out this video URL URL	0
46777	BoycottLevis Since the late s Levis has used its name and resources to attack gun rights In  the company gave  to gun control group PAX followed by a  donation in  and another  in  URL	0
54053	Are you fucking serious URL	0
15998	gets all the bitches	1
62945	 I got in a pretty deep debate with my friend and she told me that latinos for Trump and blacks for Trump were paid supporters  then I said you mean antifa are paid domestic terrorist and she said No they are antifascist then I said they are the fascist are you kidding me	0
96457	Antifa Take note of how to protest with civility This is why socialism aka communism will never win It is inherently evil and unsustainable URL	1
85977	gmm roastmycat hi this is Fiona She is about  weeks old She falls asleep in weird places URL	0
70841	 omg is he for real  this happened in peru like  years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i	1
